"OriginCityName","DestCityName","Average","lon1","lat1","lon2","lat2"
"Kotzebue, AK","Nome, AK",776,-162.5966666,66.8983333,-165.4063889,64.5011111
"Spokane, WA","Los Angeles, CA",774,-117.4260466,47.6587802,-118.2436849,34.0522342
"Syracuse, NY","Washington, DC",635,-76.1474244,43.0481221,-77.0368707,38.9071923
"Milwaukee, WI","San Francisco, CA",442,-87.9064736,43.0389025,-122.4194155,37.7749295
"Duluth, MN","Chicago, IL",429.666666666667,-92.1004852,46.7866719,-87.6297982,41.8781136
"Cleveland, OH","Nashville, TN",429.5,-81.6943605,41.49932,-86.7816016,36.1626638
"Charleston, SC","Newark, NJ",389,-79.9310512,32.7764749,-74.1723667,40.735657
"Norfolk, VA","Houston, TX",389,-76.2858726,36.8507689,-95.3698028,29.7604267
"Houston, TX","Louisville, KY",384,-95.3698028,29.7604267,-85.7584557,38.2526647
"Minneapolis, MN","Pittsburgh, PA",381,-93.2650108,44.977753,-79.9958864,40.4406248
"Williston, ND","Houston, TX",380,-103.6179745,48.1469683,-95.3698028,29.7604267
"Dickinson, ND","Minneapolis, MN",361,-102.7896242,46.8791756,-93.2650108,44.977753
"Minneapolis, MN","Miami, FL",358.5,-93.2650108,44.977753,-80.1917902,25.7616798
"Knoxville, TN","Houston, TX",356,-83.9207392,35.9606384,-95.3698028,29.7604267
"Lansing, MI","Chicago, IL",352,-84.5555347,42.732535,-87.6297982,41.8781136
"Fort Myers, FL","Milwaukee, WI",351.5,-81.8723084,26.640628,-87.9064736,43.0389025
"Cincinnati, OH","Dallas/Fort Worth, TX",342,-84.5120196,39.1031182,-96.9209135,32.7078751
"Atlantic City, NJ","Chicago, IL",341,-74.4229266,39.3642834,-87.6297982,41.8781136
"Washington, DC","Albany, NY",338,-77.0368707,38.9071923,-73.7562317,42.6525793
"Orlando, FL","Buffalo, NY",324.5,-81.3789269,28.5383832,-78.8783689,42.8864468
